Eddie Carmichael,Ravenclaw,
Penelope Clearwater,Ravenclaw,
Michael Corner,Ravenclaw,
Roger Davies,Ravenclaw,
Marietta Edgecombe,Ravenclaw,
Fawcett,Ravenclaw,
Filius Flitwick,Ravenclaw,
Anthony Goldstein,Ravenclaw,
Luna Lovegood,Ravenclaw,
Padma Patil,Ravenclaw,
Orla Quirke,Ravenclaw,
Lisa Turpin,Ravenclaw,
Grey Lady,Ravenclaw,
Rowena Ravenclaw,Ravenclaw,
Avery,Slytherin,
Malcolm Baddock,Slytherin,
Regulus Black,Slytherin,
Miles Bletchley,Slytherin,
Bole,Slytherin,
Millicent Bullstrode,Slytherin,
Vincent Crabbe,Slytherin,
Derrick,Slytherin,
Marcus Flint,Slytherin,
Gregory Goyle,Slytherin,
Harper,Slytherin,
Terence Higgs,Slytherin,
Bellatrix Lestrange,Slytherin,
Rabastan Lestrange,Slytherin,
Rodolphus Lestrange,Slytherin,
Abraxas Malfoy,Slytherin,
Draco Malfoy,Slytherin,
Lucius Malfoy,Slytherin,
Narcissa Malfoy,Slytherin,
Montague,Slytherin,
Theodore Nott,Slytherin,
Pansy Parkinson,Slytherin,
Graham Pritchard,Slytherin,
Adrian Pucey,Slytherin,
Tom Marvolo Riddle,Slytherin,
Horace Slughorn,Slytherin,
Severus Snape,Slytherin,
Vaisey,Slytherin,
Urquhart,Slytherin,
Warrington,Slytherin,
Blaise Zabini,Slytherin,
Bloody Baron,Slytherin,
Salazar Slytherin,Slytherin,
